avg_cl,avg_nitrate,avg_nitrit,avg_ph,avg_turbidity,date,station
280.5,,,8.2875,1.95,2008-12-28T00:00:00.000Z,G
272.5,0.06,0.0022500000000000003,8.2275,1.675,2020-12-29T00:00:00.000Z,D
257.75,0.001,0.002,8.77,1.65,2007-10-07T00:00:00.000Z,D
268,0.1125,0.0115,8.905000000000001,1.325,2011-06-19T00:00:00.000Z,A
305,0.013,0.002,8.395,1.35,2016-11-06T00:00:00.000Z,D
233,0.15,0.126,8.42,5.1,2005-01-09T00:00:00.000Z,H
244.75,0.10250000000000001,0.034,8.7025,5.275,2007-03-11T00:00:00.000Z,D
265,0.0095,0.00275,8.6075,2.125,2008-06-15T00:00:00.000Z,D
294,0.02,0.00425,8.39,6.1,2001-12-02T00:00:00.000Z,D
257.75,0.1325,0.09225,8.397499999999999,1.675,2008-03-02T00:00:00.000Z,A
269,0.038,0.004,8.32,2.4,2009-06-07T00:00:00.000Z,H
277.75,0.03825,0.003,8.475,1.4249999999999998,2014-11-30T00:00:00.000Z,D
270.5,0.19275,0.05475,8.137500000000001,1.5,2015-02-08T00:00:00.000Z,K
289.25,0.01475,0.002,8.385,1.3,2019-10-27T00:00:00.000Z,K
261.25,0.0935,0.01625,8.8375,1.9,2008-05-11T00:00:00.000Z,A
261,0.293,0.047,8.03,1.7,2015-02-08T00:00:00.000Z,H
268,0.114,0.012,8.81,2.5,2009-05-10T00:00:00.000Z,H
277,0.103,0.049,8.285,2.425,2012-01-22T00:00:00.000Z,G
274.25,0.67425,0.00575,8.1075,3.8499999999999996,2020-02-04T00:00:00.000Z,TZ
271,0.063,0.002,7.38,2.8,2020-11-29T00:00:00.000Z,H
279.75,0.2575,0.01525,8.525,2.65,2016-03-13T00:00:00.000Z,A
269,0.010499999999999999,0.004,8.985,1.25,2011-07-24T00:00:00.000Z,A
247,0.076,0.005,8.56,2.2,2013-12-29T00:00:00.000Z,H
272.25,0.0032500000000000003,0.003,8.467500000000001,1.4749999999999999,2000-10-02T00:00:00.000Z,K
280,0.023,0.002,8.34,1.9,2015-10-11T00:00:00.000Z,H
314,0.005,0.002,8.45,3,2017-09-24T00:00:00.000Z,H
227,0.13,0.016,8.7,3.7,2004-06-06T00:00:00.000Z,H
282.5,0.004,0.0025,8.52,2.6,2002-07-28T00:00:00.000Z,A
269.25,0.026,0.00575,8.967500000000001,1.9,2009-06-07T00:00:00.000Z,K
274.75,0.00775,0.002,8.5775,0.825,2010-08-01T00:00:00.000Z,A
269,0.00425,0.002,,1.45,2014-08-17T00:00:00.000Z,K
275.5,0.09925,0.01225,9.14,3.425,2002-05-19T00:00:00.000Z,G
303,0.095,0.01425,8.77,2.225,2018-04-08T00:00:00.000Z,G
301,0.00575,0.002,8.83,1.675,2018-05-21T00:00:00.000Z,G
262.75,0.24825,0.01375,8.8375,1.4,2020-05-10T00:00:00.000Z,D
241.25,0.13875,0.019,9.325,1.7,2013-06-09T00:00:00.000Z,G
274,0.097,0.06,8.03,2.9,2019-06-10T00:00:00.000Z,H
278,0.026,0.002,8.31,2.2,2015-10-18T00:00:00.000Z,H
303.5,0.3855,0.023,8.19,2.425,2019-02-10T00:00:00.000Z,G
237.25,0.0305,0.0032500000000000003,8.8925,3.3,2005-07-24T00:00:00.000Z,D
266.25,0.18025,0.014499999999999999,8.9575,1.9,2011-05-22T00:00:00.000Z,A
280.25,0.2995,0.00525,8.045,1.65,2016-02-08T00:00:00.000Z,A
228.75,0.087,0.014,8.8,2.825,2004-06-20T00:00:00.000Z,G
230,0.0615,0.00925,8.725,2.525,2004-07-11T00:00:00.000Z,A
274,0.008,0.002,9.075,2,2008-08-31T00:00:00.000Z,G
261.25,0.02675,0.002,8.705,1.25,2012-12-02T00:00:00.000Z,G
285,0.47975,0.094,7.9125,2.3,2002-01-21T00:00:00.000Z,A
301.75,0.005,0.002,8.41,1.525,2016-09-25T00:00:00.000Z,G
271.5,0.035750000000000004,0.0022500000000000003,8.2075,1.4500000000000002,2020-12-13T00:00:00.000Z,G
264,0.45225000000000004,0.017,8.855,8.575,2020-03-15T00:00:00.000Z,D
291,0.01725,0.002,8.23,1.025,2019-11-10T00:00:00.000Z,A
277.25,0.11375,0.006,8.1975,3.45,2002-12-29T00:00:00.000Z,G
252,0,0.002,8.53,1.9,2013-10-06T00:00:00.000Z,H
235,0.35,0.004,8.16,4.6,2006-02-12T00:00:00.000Z,H
230.25,0.10175000000000001,0.01025,8.775,2.6,2004-07-04T00:00:00.000Z,A
,,,,,2018-06-25T00:00:00.000Z,A
263,0.031,0.007,8.63,3.3,2001-05-13T00:00:00.000Z,H
236,0.171,0.018,8.67,5.2,2003-07-27T00:00:00.000Z,H
,,,8.649999999999999,2.425,2005-10-09T00:00:00.000Z,A
281.5,0.09225,0.005,8.165,1.05,2011-01-23T00:00:00.000Z,A
282,0.005,0.002,8.4,3.2,2001-08-13T00:00:00.000Z,H
229.5,0.0905,0.013,8.8,2.7,2004-06-27T00:00:00.000Z,A
256,0.35025,0.01425,8.870000000000001,1.925,2020-04-19T00:00:00.000Z,G
261,0.0032500000000000003,0.001,8.6675,2.65,2000-07-09T00:00:00.000Z,D
240.75,0.33225,0.004,8.129999999999999,2.05,2006-02-12T00:00:00.000Z,K
276.5,0.005,0.002,8.585,1.25,2015-08-23T00:00:00.000Z,G
257,0.011,0.002,8.57,3.1,2012-07-22T00:00:00.000Z,H
265.5,0.012,0.002,8.2575,1.425,2020-08-02T00:00:00.000Z,A
254,0.01675,0.00475,9.1675,2.275,2012-06-17T00:00:00.000Z,D
245.75,0.0945,0.0055,8.075,2.425,2007-01-14T00:00:00.000Z,G
246,0.32,0.04,8.3,4.1,2004-01-11T00:00:00.000Z,H
291,0.12175,0.0785,8.6775,1.9,2002-01-08T00:00:00.000Z,A
277.5,0.08775,0.009,8.175,1.875,2010-01-03T00:00:00.000Z,G
297,0.28425,0.01125,8.39,5.3,2017-02-26T00:00:00.000Z,K
274,0.685,0.013,7.67,3.3,2020-01-26T00:00:00.000Z,H
302.5,0.14375,0.013,8.675,2.575,2018-03-25T00:00:00.000Z,G
274,0.052,0.005,8.12,1.5,2010-06-27T00:00:00.000Z,H
245,0.0315,0.00625,8.945,1.725,2013-07-14T00:00:00.000Z,A
247,0.0145,0.00475,8.875,2.225,2013-07-21T00:00:00.000Z,D
250,0.03475,0.01475,8.5025,1.4,2014-01-06T00:00:00.000Z,K
273.5,0.002,0.002,8.625,2.75,2000-09-24T00:00:00.000Z,D
255.75,0.18775,0.056,8.6625,1.9249999999999998,2008-03-10T00:00:00.000Z,A
270.75,0.07275000000000001,0.01125,9.195,1.65,2009-05-17T00:00:00.000Z,A
258.75,,0.002,8.495000000000001,1.25,2014-06-22T00:00:00.000Z,A
283.75,0.0615,0.024,8.8775,3.275,2009-02-08T00:00:00.000Z,D
226,0.27525,0.01075,9,3.2249999999999996,2004-04-18T00:00:00.000Z,G
236,0.252,0.022,,2.7,2006-03-19T00:00:00.000Z,H
251.25,0.23625000000000002,0.0165,8.83,2.8,2000-04-02T00:00:00.000Z,G
245,0.01,0.009,8.25,4.2,2006-01-02T00:00:00.000Z,H
246,0.025,0.002,8.92,2.7,2013-08-04T00:00:00.000Z,H
242,0.0931,0.007,8.08,2.7,2004-12-12T00:00:00.000Z,H
291.5,0.00825,0.002,8.600000000000001,1.625,2016-07-17T00:00:00.000Z,A
270,0.345,0.018,8.16,1.81,2010-03-14T00:00:00.000Z,H
233.25,0.11725,0.01425,8.6025,1.925,2006-04-23T00:00:00.000Z,A
270,0.0075,0.002,8.785,1.4,2009-06-28T00:00:00.000Z,G
281.25,0.10175000000000001,0.0125,8.5925,1.9749999999999999,2016-05-08T00:00:00.000Z,A
312.5,0.005,0.002,8.5825,1.0625,2018-07-15T00:00:00.000Z,G
275,0.007,0.002,8.5475,1.1125,2015-08-09T00:00:00.000Z,G
264,0.113,0.013,8.57,3.3,2009-05-17T00:00:00.000Z,H
280.75,0.01925,0.00275,8.717500000000001,2.675,2008-11-16T00:00:00.000Z,G
323,0.006999999999999999,0.002,,1.65,2018-10-02T00:00:00.000Z,G
270.75,0.0115,0.003,8.5325,0.9750000000000001,2010-06-27T00:00:00.000Z,A
246.75,0.088,0.006500000000000001,8.4275,3.275,2007-01-28T00:00:00.000Z,G
286,0.046,0.003,8.16,2.9,2019-10-27T00:00:00.000Z,H
250.25,0.5385,0.01175,8.1575,1.525,2013-02-17T00:00:00.000Z,A
247.75,0.3015,0.007,8.19,2.325,2014-02-09T00:00:00.000Z,G
281,0.034,0.002,8.56,1.8,2019-07-28T00:00:00.000Z,H
